,Remaing states
0,Iowa
1,Maryland
2,Mississippi
3,South Carolina
4,Arizona
5,Indiana
6,Missouri
7,Oklahoma
8,Wisconsin
9,Colorado
10,Florida
11,Georgia
12,Kansas
13,Pennsylvania
14,Rhode Island
15,Michigan
16,New York
17,Massachusetts
18,Alabama
19,Oregon
20,Ohio
21,New Hampshire
22,Minnesota
23,Utah
24,Illinois
25,North Dakota
26,Louisiana
27,Texas
28,North Carolina
29,Connecticut
30,Kentucky
31,Tennessee
32,Maine
33,Delaware
34,Montana
35,Arkansas
36,New Jersey
37,South Dakota
38,Vermont
39,Idaho
40,Nebraska
41,Virginia
42,New Mexico
43,Wyoming
44,Hawaii
45,Nevada
46,California
47,Washington
48,Alaska
49,West Virginia
